weight;Time;Chick;Diet
62;6;c16;d1
72;8;c16;d1
88;10;c16;d1
119;12;c16;d1
135;14;c16;d1
162;16;c16;d1
185;18;c16;d1
195;20;c16;d1
205;21;c16;d1
41;0;c04;d1
48;2;c04;d1
53;4;c04;d1
60;6;c04;d1
65;8;c04;d1
67;10;c04;d1
71;12;c04;d1
70;14;c04;d1
71;16;c04;d1
81;18;c04;d1
91;20;c04;d1
96;21;c04;d1
41;0;c19;d1
49;2;c19;d1
62;4;c19;d1
79;6;c19;d1
101;8;c19;d1
128;10;c19;d1
164;12;c19;d1
192;14;c19;d1
227;16;c19;d1
248;18;c19;d1
259;20;c19;d1
266;21;c19;d1
41;0;c03;d1
49;2;c03;d1
56;4;c03;d1
64;6;c03;d1
68;8;c03;d1
68;10;c03;d1
67;12;c03;d1
68;14;c03;d1
41;0;c02;d1
45;2;c02;d1
49;4;c02;d1
51;6;c02;d1
57;8;c02;d1
51;10;c02;d1
54;12;c02;d1
42;0;c09;d1
51;2;c09;d1
61;4;c09;d1
72;6;c09;d1
83;8;c09;d1
89;10;c09;d1
98;12;c09;d1
103;14;c09;d1
113;16;c09;d1
123;18;c09;d1
133;20;c09;d1
142;21;c09;d1
39;0;c01;d1
35;2;c01;d1
43;0;c10;d1
48;2;c10;d1
55;4;c10;d1
62;6;c10;d1
65;8;c10;d1
71;10;c10;d1
82;12;c10;d1
88;14;c10;d1
106;16;c10;d1
120;18;c10;d1
144;20;c10;d1
157;21;c10;d1
41;0;c06;d1
47;2;c06;d1
54;4;c06;d1
58;6;c06;d1
65;8;c06;d1
73;10;c06;d1
77;12;c06;d1
89;14;c06;d1
98;16;c06;d1
107;18;c06;d1
115;20;c06;d1
117;21;c06;d1
40;0;c30;d2
50;2;c30;d2
62;4;c30;d2
86;6;c30;d2
125;8;c30;d2
163;10;c30;d2
217;12;c30;d2
240;14;c30;d2
275;16;c30;d2
307;18;c30;d2
318;20;c30;d2
331;21;c30;d2
41;0;c23;d2
55;2;c23;d2
64;4;c23;d2
77;6;c23;d2
90;8;c23;d2
95;10;c23;d2
108;12;c23;d2
111;14;c23;d2
131;16;c23;d2
148;18;c23;d2
164;20;c23;d2
167;21;c23;d2
43;0;c24;d2
52;2;c24;d2
61;4;c24;d2
73;6;c24;d2
90;8;c24;d2
103;10;c24;d2
127;12;c24;d2
135;14;c24;d2
145;16;c24;d2
163;18;c24;d2
170;20;c24;d2
175;21;c24;d2
42;0;c21;d2
52;2;c21;d2
58;4;c21;d2
74;6;c21;d2
66;8;c21;d2
68;10;c21;d2
70;12;c21;d2
71;14;c21;d2
72;16;c21;d2
72;18;c21;d2
76;20;c21;d2
74;21;c21;d2
40;0;c28;d2
49;2;c28;d2
62;4;c28;d2
78;6;c28;d2
102;8;c28;d2
124;10;c28;d2
146;12;c28;d2
164;14;c28;d2
197;16;c28;d2
231;18;c28;d2
259;20;c28;d2
265;21;c28;d2
42;0;c27;d2
48;2;c27;d2
57;4;c27;d2
74;6;c27;d2
93;8;c27;d2
114;10;c27;d2
136;12;c27;d2
147;14;c27;d2
169;16;c27;d2
205;18;c27;d2
236;20;c27;d2
251;21;c27;d2
39;0;c25;d2
46;2;c25;d2
58;4;c25;d2
73;6;c25;d2
87;8;c25;d2
100;10;c25;d2
115;12;c25;d2
123;14;c25;d2
144;16;c25;d2
163;18;c25;d2
185;20;c25;d2
192;21;c25;d2
39;0;c26;d2
46;2;c26;d2
58;4;c26;d2
73;6;c26;d2
92;8;c26;d2
114;10;c26;d2
145;12;c26;d2
156;14;c26;d2
184;16;c26;d2
207;18;c26;d2
212;20;c26;d2
233;21;c26;d2
39;0;c29;d2
48;2;c29;d2
59;4;c29;d2
74;6;c29;d2
87;8;c29;d2
106;10;c29;d2
134;12;c29;d2
150;14;c29;d2
187;16;c29;d2
230;18;c29;d2
279;20;c29;d2
309;21;c29;d2
42;0;c22;d2
48;2;c22;d2
59;4;c22;d2
72;6;c22;d2
85;8;c22;d2
98;10;c22;d2
115;12;c22;d2
122;14;c22;d2
143;16;c22;d2
151;18;c22;d2
157;20;c22;d2
150;21;c22;d2
42;0;c34;d3
53;2;c34;d3
62;4;c34;d3
73;6;c34;d3
85;8;c34;d3
102;10;c34;d3
123;12;c34;d3
138;14;c34;d3
170;16;c34;d3
204;18;c34;d3
235;20;c34;d3
256;21;c34;d3
41;0;c37;d3
49;2;c37;d3
65;4;c37;d3
82;6;c37;d3
107;8;c37;d3
129;10;c37;d3
159;12;c37;d3
179;14;c37;d3
221;16;c37;d3
263;18;c37;d3
291;20;c37;d3
305;21;c37;d3
39;0;c31;d3
50;2;c31;d3
63;4;c31;d3
77;6;c31;d3
96;8;c31;d3
111;10;c31;d3
137;12;c31;d3
144;14;c31;d3
151;16;c31;d3
146;18;c31;d3
156;20;c31;d3
147;21;c31;d3
41;0;c39;d3
49;2;c39;d3
63;4;c39;d3
85;6;c39;d3
107;8;c39;d3
134;10;c39;d3
164;12;c39;d3
186;14;c39;d3
235;16;c39;d3
294;18;c39;d3
327;20;c39;d3
341;21;c39;d3
41;0;c40;d3
53;2;c40;d3
64;4;c40;d3
87;6;c40;d3
123;8;c40;d3
158;10;c40;d3
201;12;c40;d3
238;14;c40;d3
287;16;c40;d3
332;18;c40;d3
361;20;c40;d3
373;21;c40;d3
39;0;c33;d3
48;2;c33;d3
61;4;c33;d3
76;6;c33;d3
98;8;c33;d3
116;10;c33;d3
145;12;c33;d3
166;14;c33;d3
198;16;c33;d3
227;18;c33;d3
225;20;c33;d3
220;21;c33;d3
41;0;c32;d3
48;2;c32;d3
56;4;c32;d3
68;6;c32;d3
80;8;c32;d3
83;10;c32;d3
103;12;c32;d3
112;14;c32;d3
135;16;c32;d3
157;18;c32;d3
169;20;c32;d3
178;21;c32;d3
41;0;c36;d3
49;2;c36;d3
61;4;c36;d3
74;6;c36;d3
98;8;c36;d3
109;10;c36;d3
128;12;c36;d3
154;14;c36;d3
192;16;c36;d3
232;18;c36;d3
280;20;c36;d3
290;21;c36;d3
42;0;c35;d3
50;2;c35;d3
61;4;c35;d3
78;6;c35;d3
89;8;c35;d3
109;10;c35;d3
130;12;c35;d3
146;14;c35;d3
170;16;c35;d3
214;18;c35;d3
250;20;c35;d3
272;21;c35;d3
41;0;c38;d3
55;2;c38;d3
66;4;c38;d3
79;6;c38;d3
101;8;c38;d3
120;10;c38;d3
154;12;c38;d3
182;14;c38;d3
215;16;c38;d3
262;18;c38;d3
295;20;c38;d3
321;21;c38;d3
42;0;c44;d4
51;2;c44;d4
66;4;c44;d4
85;6;c44;d4
103;8;c44;d4
124;10;c44;d4
155;12;c44;d4
153;14;c44;d4
175;16;c44;d4
184;18;c44;d4
199;20;c44;d4
204;21;c44;d4
42;0;c49;d4
49;2;c49;d4
63;4;c49;d4
84;6;c49;d4
103;8;c49;d4
126;10;c49;d4
160;12;c49;d4
174;14;c49;d4
204;16;c49;d4
234;18;c49;d4
269;20;c49;d4
281;21;c49;d4
42;0;c43;d4
55;2;c43;d4
69;4;c43;d4
96;6;c43;d4
131;8;c43;d4
157;10;c43;d4
184;12;c43;d4
188;14;c43;d4
197;16;c43;d4
198;18;c43;d4
199;20;c43;d4
200;21;c43;d4
42;0;c41;d4
51;2;c41;d4
65;4;c41;d4
86;6;c41;d4
103;8;c41;d4
118;10;c41;d4
127;12;c41;d4
138;14;c41;d4
145;16;c41;d4
146;18;c41;d4
41;0;c42;d4
50;2;c42;d4
61;4;c42;d4
78;6;c42;d4
98;8;c42;d4
117;10;c42;d4
135;12;c42;d4
141;14;c42;d4
147;16;c42;d4
174;18;c42;d4
197;20;c42;d4
196;21;c42;d4
40;0;c47;d4
52;2;c47;d4
62;4;c47;d4
82;6;c47;d4
101;8;c47;d4
120;10;c47;d4
144;12;c47;d4
156;14;c47;d4
173;16;c47;d4
210;18;c47;d4
231;20;c47;d4
238;21;c47;d4
41;0;c45;d4
53;2;c45;d4
66;4;c45;d4
79;6;c45;d4
100;8;c45;d4
123;10;c45;d4
148;12;c45;d4
157;14;c45;d4
168;16;c45;d4
185;18;c45;d4
210;20;c45;d4
205;21;c45;d4
39;0;c50;d4
50;2;c50;d4
62;4;c50;d4
80;6;c50;d4
104;8;c50;d4
125;10;c50;d4
154;12;c50;d4
170;14;c50;d4
222;16;c50;d4
261;18;c50;d4
303;20;c50;d4
322;21;c50;d4
40;0;c46;d4
53;2;c46;d4
64;4;c46;d4
85;6;c46;d4
108;8;c46;d4
128;10;c46;d4
152;12;c46;d4
166;14;c46;d4
184;16;c46;d4
203;18;c46;d4
233;20;c46;d4
237;21;c46;d4
41;0;c48;d4
54;2;c48;d4
67;4;c48;d4
84;6;c48;d4
105;8;c48;d4
122;10;c48;d4
155;12;c48;d4
175;14;c48;d4
205;16;c48;d4
234;18;c48;d4
264;20;c48;d4
264;21;c48;d4
